,Roll,Pitch,Heading,Pressure(Pha),Temperature,WindSpeed,Date,Time,latitude,longitude,Altitude
0,-3.81,-1.12,157.71,1018.09,23.10,"0
",,,,,
1,-4.02,-1.34,158.20,1018.05,23.10,"0
",,,,,
2,-3.56,-1.33,158.00,1018.02,23.10,"0
",,,,,
3,-3.81,-1.12,156.80,1018.07,23.10,"0
",,,,,
4,-4.26,-1.34,157.30,1018.03,23.10,0,20/11/2020,14:45:53.,6228.3256N,614.0568E,21.30
5,-3.35,-1.12,156.95,1018.04,23.10,"0
",,,,,
6,-3.52,-1.54,157.80,1018.03,23.10,"0
",,,,,
7,-3.58,-1.56,159.32,1018.09,23.10,"0
",,,,,
8,-4.21,-0.66,157.50,1018.13,23.10,0,20/11/2020,14:45:55.,6228.3256N,614.0568E,21.30
9,-3.56,-1.11,158.69,1018.04,23.10,"0
",,,,,
10,-3.37,-1.12,158.81,1018.01,23.10,"0
",,,,,
11,-3.34,-1.78,158.00,1018.07,23.10,"0
",,,,,
12,-3.33,-0.89,158.81,1018.03,23.10,0,20/11/2020,14:45:57.,6228.3261N,614.0570E,21.30
13,-3.77,-1.33,157.30,1018.04,23.10,"0
",,,,,
14,-3.53,-1.55,157.80,1018.04,23.10,"0
",,,,,
15,-3.31,-1.10,157.38,1018.03,23.10,"0
",,,,,
16,-3.35,-0.89,159.97,1018.03,23.10,0,20/11/2020,14:45:59.,6228.3261N,614.0572E,21.30
17,-3.58,-1.34,157.59,1018.07,23.10,"0
",,,,,
18,-3.31,-1.32,157.47,1018.07,23.10,"0
",,,,,
19,-3.14,-1.35,156.50,1018.04,23.10,"0
",,,,,
20,-3.80,-1.12,157.09,1018.02,23.10,0,20/11/2020,14:46:01.,6228.3261N,614.0575E,21.30
21,-3.55,-1.33,157.47,1018.03,23.10,"0
",,,,,
22,-3.80,-1.34,155.98,1018.05,23.10,"0
",,,,,
23,-3.78,-1.11,156.43,1018.00,23.10,"0
",,,,,
24,-3.55,-0.66,155.98,1018.05,23.10,"0
",,,,,
25,-4.21,-1.55,156.21,1018.04,23.10,0,20/11/2020,14:46:04.,6228.3261N,614.0582E,21.30
26,-3.77,-1.55,157.17,1018.00,23.10,"0
",,,,,
27,-3.78,-1.78,156.21,1018.03,23.10,"0
",,,,,
28,-3.55,-1.55,156.43,1018.01,23.10,"0
",,,,,
29,-3.12,-1.78,157.47,1018.01,23.10,0,20/11/2020,14:46:06.,6228.3261N,614.0588E,21.30
30,-3.77,-1.55,156.43,1018.03,23.10,"0
",,,,,
31,-4.00,-1.78,158.20,1018.06,23.10,"0
",,,,,
32,-3.14,-1.35,154.44,1018.02,23.10,"0
",,,,,
33,-3.34,-0.67,157.09,1018.02,23.10,0,20/11/2020,14:46:08.,6228.3266N,614.0593E,21.30
34,-2.86,-1.10,156.37,1018.02,23.10,"0
",,,,,
35,-3.60,-1.13,157.17,1018.01,23.10,"0
",,,,,
36,-3.34,-1.56,157.03,1018.06,23.10,"0
",,,,,
37,-3.77,-1.55,156.15,1018.04,23.10,0,20/11/2020,14:46:10.,6228.3266N,614.0600E,21.30
38,-3.77,-1.33,155.75,1018.00,23.10,"0
",,,,,
39,-3.12,-1.78,157.03,1018.00,23.10,"0
",,,,,
40,-3.34,-1.11,156.66,1018.01,23.10,"0
",,,,,
41,-3.55,-0.89,156.66,1018.05,23.10,0,20/11/2020,14:46:12.,6228.3261N,614.0606E,21.30
42,-3.34,-1.56,157.03,1018.03,23.10,"0
",,,,,
43,-3.56,-1.56,156.37,1018.05,23.10,"0
",,,,,
44,-3.56,-1.33,155.42,1018.06,23.10,"0
",,,,,
45,-3.77,-1.11,157.38,1018.03,23.10,0,20/11/2020,14:46:14.,6228.3261N,614.0613E,21.30
46,-3.59,-1.12,156.43,1018.01,23.10,"0
",,,,,
47,-3.33,-1.11,156.50,1018.06,23.10,"0
",,,,,
48,-3.59,-1.35,156.21,1018.03,23.10,"0
",,,,,
49,-2.88,-0.89,155.19,1018.04,23.10,0,20/11/2020,14:46:16.,6228.3261N,614.0618E,21.30
50,-3.11,-1.33,157.47,1017.99,23.10,"0
",,,,,
51,-3.31,-0.88,155.87,1018.04,23.10,"0
",,,,,
52,-3.33,-1.33,156.15,1018.06,23.10,"0
",,,,,
53,-3.56,-1.11,155.70,1018.00,23.10,0,20/11/2020,14:46:18.,6228.3261N,614.0622E,21.30
54,-3.34,-1.56,157.17,1018.02,23.10,"0
",,,,,
55,-3.34,-1.34,155.92,1018.01,23.10,"0
",,,,,
56,-3.33,-1.33,155.70,1018.00,23.10,"0
",,,,,
57,-3.14,-0.90,155.87,1018.03,23.10,0,20/11/2020,14:46:19.,6228.3261N,614.0622E,21.30
58,-3.55,-1.11,155.98,1018.03,23.10,"0
",,,,,
59,-3.33,-0.89,156.21,1018.03,23.10,"0
",,,,,
