,Roll,Pitch,Heading,Pressure(Pha),Temperature,WindSpeed,Date,Time,latitude,longitude,Altitude
0,-4.45,-4.90,295.46,1000.16,23.70,0,,,,,
1,-3.77,-5.10,295.19,1000.06,23.70,0,,,,,
2,-3.95,-4.61,295.57,1000.12,23.70,0,,,,,
3,-4.65,-5.32,296.47,1000.10,23.70,0,,,,,
4,-3.98,-4.86,296.03,1000.11,23.70,0-4.24,-5.36,296.38,1000.09,23.70,
5,-3.99,-5.32,295.84,1000.04,23.70,0,,,,,
6,-4.18,-5.28,295.66,1000.08,23.70,0,,,,,
7,-4.21,-5.54,295.21,1000.13,23.70,0-4.87,-5.10,295.46,1000.08,23.70,
8,-4.38,-4.60,295.47,1000.05,23.70,0,,,,,
9,-4.20,-5.08,296.11,1000.12,23.70,0,,,,,
10,-4.23,-4.90,295.57,1000.10,23.70,0-4.65,-5.54,294.93,1000.10,23.70,
11,-4.02,-5.14,295.93,1000.06,23.70,0,,,,,
12,-4.42,-4.86,295.47,1000.09,23.70,0,,,,,
13,-3.74,-5.50,295.28,1000.07,23.70,0-3.99,-5.32,295.56,1000.12,23.70,
14,-3.99,-4.88,295.47,1000.16,23.70,0,,,,,
15,-3.76,-4.86,295.93,1000.11,23.70,0,,,,,
16,-3.98,-4.86,295.56,1000.08,23.70,0-3.99,-4.88,295.30,1000.12,23.70,
17,-3.78,-5.57,295.74,1000.13,23.70,0,,,,,
18,-4.18,-5.06,296.03,1000.10,23.70,0-3.99,-4.66,295.30,1000.11,23.70,
19,-4.01,-5.12,296.02,1000.15,23.70,0,,,,,
20,-3.99,-5.32,295.38,1000.13,23.70,0,,,,,
21,-3.99,-5.32,295.21,1000.12,23.70,0-4.24,-5.36,295.20,1000.16,23.70,
22,-3.96,-4.84,295.57,1000.12,23.70,0,,,,,
23,-4.23,-4.68,295.09,1000.15,23.70,0,,,,,
24,-4.50,-5.85,292.78,1000.18,23.70,0-4.64,-2.32,292.55,1000.11,23.70,
25,-1.92,-6.31,289.22,1000.17,23.70,0,,,,,
26,-0.36,-5.06,290.82,1000.17,23.70,0,,,,,
27,-3.83,-4.29,289.58,1000.14,23.70,0-2.80,-3.03,291.25,1000.15,23.70,
28,-4.04,-4.27,292.38,1000.13,23.70,0,,,,,
29,-3.56,-4.68,291.71,1000.16,23.70,0,,,,,
30,-4.43,-4.88,292.60,1000.09,23.70,0-2.90,-5.13,293.11,1000.13,23.70,
31,-3.78,-5.57,293.20,1000.15,23.70,0,,,,,
32,-4.23,-5.34,294.39,1000.14,23.70,0,,,,,
33,-4.23,-4.90,294.79,1000.12,23.70,0-4.45,-4.68,294.37,1000.16,23.70,
34,-3.84,-5.88,294.60,1000.12,23.70,0,,,,,
35,-4.37,-7.89,295.14,1000.12,23.70,0,,,,,
36,-3.94,-4.17,293.49,1000.11,23.70,0-3.38,-9.34,293.31,1000.10,23.70,
37,-5.39,-5.17,289.79,1000.12,23.70,0,,,,,
38,-4.29,-4.79,291.25,1000.16,23.70,0,,,,,
39,-4.76,-7.49,290.88,1000.12,23.70,0-3.35,-5.59,290.41,1000.12,23.70,
40,-4.74,-5.39,286.97,1000.14,23.70,0,,,,,
41,-3.94,-10.55,288.84,1000.10,23.70,0,,,,,
42,-0.86,-7.12,290.81,1000.18,23.70,0-4.25,-4.89,293.71,1000.14,23.70,
43,-9.25,-8.56,295.13,1000.12,23.70,0,,,,,
44,-3.48,-5.87,294.73,1000.11,23.70,0,,,,,
45,-1.80,-4.74,294.70,1000.09,23.70,0-5.36,-5.36,293.88,1000.05,23.70,
46,-2.92,-4.50,292.84,1000.10,23.70,0,,,,,
47,-4.46,-5.58,293.14,1000.10,23.70,0,,,,,
48,-3.78,-5.57,293.63,1000.13,23.70,0-4.40,-5.50,293.68,1000.05,23.70,
49,-3.99,-5.76,293.01,1000.08,23.70,0,,,,,
50,-4.17,-5.72,293.25,1000.06,23.70,0,,,,,
51,-3.76,-6.42,292.67,1000.08,23.70,0-4.81,-6.12,292.65,1000.07,23.70,
52,-4.00,-5.79,293.36,1000.05,23.70,0,,,,,
53,-4.43,-5.54,293.88,1000.07,23.70,0,,,,,
54,-4.67,-5.78,292.91,1000.04,23.70,0-3.97,-5.74,293.33,1000.04,23.70,
55,-3.97,-5.96,293.33,1000.06,23.70,0,,,,,
56,-4.00,-5.34,293.64,1000.04,23.70,0,,,,,
57,-4.21,-5.10,293.28,1000.02,23.70,0-4.23,-5.34,293.04,999.98,23.70,
58,-4.41,-5.52,292.99,1000.02,23.70,0,,,,,
59,-4.21,-5.54,293.25,1000.05,23.70,0,,,,,
60,-3.99,-5.32,294.23,999.99,23.70,0,22/11/2020,18:43:29.,6228.3481N,614.0566E,
61,-4.21,-5.32,293.36,1000.06,23.70,0,,,,,
62,-3.77,-5.32,293.15,1000.03,23.70,0,,,,,
63,-4.24,-5.58,293.54,1000.02,23.70,0,,,,,
64,-4.50,-5.63,293.04,1000.00,23.70,0,22/11/2020,18:43:31.,6228.3505N,614.0578E,
65,-4.45,-5.34,293.51,1000.00,23.70,0,,,,,
66,-4.02,-5.81,293.38,1000.01,23.70,0,,,,,
67,-4.40,-5.50,292.99,1000.02,23.70,0,,,,,
68,-4.22,-6.45,293.28,1000.08,23.70,0,22/11/2020,18:43:33.,6228.3510N,614.0590E,
69,-4.19,-5.30,292.88,999.99,23.70,0,,,,,
70,-3.99,-5.54,292.70,1000.04,23.70,0,,,,,
71,-3.74,-5.50,292.80,1000.02,23.70,0,,,,,
72,-3.98,-5.98,293.15,1000.01,23.70,0,22/11/2020,18:43:35.,6228.3510N,614.0587E,
73,-4.02,-5.59,292.91,1000.02,23.70,0,,,,,
74,-3.97,-5.52,293.07,1000.05,23.70,0,,,,,
75,-3.77,-5.54,293.43,1000.04,23.70,0,,,,,
76,-3.74,-5.50,292.91,1000.09,23.70,0,22/11/2020,18:43:37.,6228.3515N,614.0587E,
77,-4.44,-5.78,293.33,1000.08,23.70,0,,,,,
78,-4.19,-5.52,293.62,1000.08,23.70,0,,,,,
79,-3.28,-5.03,293.51,1000.08,23.70,0,,,,,
80,-4.21,-5.10,292.96,1000.09,23.70,0,22/11/2020,18:43:39.,6228.3510N,614.0589E,
81,-4.04,-4.49,293.41,1000.05,23.70,0,,,,,
82,-3.78,-5.34,293.28,1000.12,23.60,0,22/11/2020,18:43:41.,6228.3505N,614.0585E,
83,-3.96,-5.72,293.59,1000.09,23.70,0,,,,,
84,-4.44,-5.78,292.96,1000.04,23.70,0,,,,,
85,-4.27,-5.85,293.43,1000.09,23.70,0,22/11/2020,18:43:43.,6228.3505N,614.0584E,
86,-3.74,-5.72,292.88,1000.08,23.70,0,,,,,
87,-4.00,-5.79,293.33,1000.10,23.70,0,,,,,
88,-4.19,-5.74,293.23,1000.16,23.70,0,,,,,
89,-4.39,-5.72,293.23,1000.16,23.70,0,,,,,
90,-4.24,-5.81,292.77,1000.09,23.70,0,22/11/2020,18:43:45.,6228.3505N,614.0587E,
91,-4.86,-6.20,293.41,1000.14,23.70,0,,,,,
92,-4.39,-5.72,293.20,1000.06,23.70,0,,,,,
93,-4.41,-5.52,293.04,1000.12,23.70,0,22/11/2020,18:43:47.,6228.3500N,614.0594E,
94,-4.41,-5.74,293.07,1000.07,23.60,0,,,,,
95,-4.19,-5.52,292.88,1000.12,23.60,0,,,,,
96,-3.97,-5.30,293.68,1000.13,23.70,0,,,,,
97,-3.97,-5.52,293.12,1000.06,23.70,0,22/11/2020,18:43:49.,6228.3496N,614.0607E,
98,-4.61,-5.93,293.23,1000.12,23.70,0,,,,,
99,-4.21,-5.76,292.85,1000.11,23.70,0,,,,,
100,-4.02,-5.81,293.41,1000.14,23.70,0,,,,,
101,-3.77,-5.32,293.36,1000.16,23.70,0,22/11/2020,18:43:51.,6228.3491N,614.0630E,
102,-4.43,-5.76,292.43,1000.17,23.70,0,,,,,
103,-4.22,-5.56,293.07,1000.13,23.70,0,,,,,
104,-4.43,-5.76,292.28,1000.11,23.60,0,22/11/2020,18:43:53.,6228.3481N,614.0643E,
105,-4.45,-5.56,293.59,1000.15,23.60,0,,,,,
106,-4.21,-5.76,292.51,1000.13,23.60,0,,,,,
107,-4.43,-5.76,293.33,1000.12,23.70,0,,,,,
108,-3.80,-5.36,293.15,1000.11,23.60,0,22/11/2020,18:43:55.,6228.3471N,614.0649E,
109,-4.44,-5.78,293.33,1000.12,23.70,0,,,,,
110,-4.21,-5.54,292.88,1000.16,23.60,0,,,,,
111,-3.75,-5.52,293.86,1000.16,23.60,0,,,,,
112,-4.22,-6.22,293.23,1000.12,23.60,0,22/11/2020,18:43:57.,6228.3476N,614.0655E,
113,-4.43,-5.54,293.12,1000.12,23.60,0,,,,,
114,-4.02,-5.81,293.36,1000.17,23.60,0,,,,,
